학교명,구분,시도,시군구
ICT폴리텍대학,전문대,경기도,광주시
가야대학교(고령),4년제,경상북도,고령군
가야대학교(김해),4년제,경상남도,김해시
가천대학교,4년제,경기도,성남시 수정구
가톨릭관동대학교,4년제,강원특별자치도,강릉시
가톨릭꽃동네대학교,4년제,충청북도,청주시 서원구
가톨릭대학교,4년제,경기도,부천시 원미구
가톨릭상지대학교,전문대,경상북도,안동시
감리교신학대학교,4년제,서울특별시,서대문구
강남대학교,4년제,경기도,용인시 기흥구
강동대학교,전문대,충청북도,음성군
강릉영동대학교,전문대,강원특별자치도,강릉시
강서대학교,4년제,서울특별시,강서구
강원관광대학교,전문대,강원특별자치도,태백시
강원대학교,4년제,강원특별자치도,춘천시
강원도립대학교,전문대,강원특별자치도,강릉시
거제대학교,전문대,경상남도,거제시
건국대학교,4년제,서울특별시,광진구
건국대학교(글로컬),4년제,충청북도,충주시
건양대학교,4년제,충청남도,논산시
건양사이버대학교,원격대학,대전광역시,서구
경기과학기술대학교,전문대,경기도,시흥시
경기대학교,4년제,경기도,수원시 영통구
경남과학기술대학교,4년제,경상남도,진주시
경남대학교,4년제,경상남도,창원시 마산합포구
경남도립거창대학,전문대,경상남도,거창군
경남도립남해대학,전문대,경상남도,남해군
경남정보대학교,전문대,부산광역시,사상구
경동대학교,4년제,강원특별자치도,고성군
경민대학교,전문대,경기도,의정부시
경복대학교,전문대,경기도,남양주시
경북과학대학교,전문대,경상북도,칠곡군
경북대학교,4년제,대구광역시,북구
경북도립대학교,전문대,경상북도,예천군
경북보건대학교,전문대,경상북도,김천시
경북전문대학교,전문대,경상북도,영주시
경상국립대학교,4년제,경상남도,진주시
경성대학교,4년제,부산광역시,남구
경운대학교,4년제,경상북도,구미시
경운대학교(산업대),4년제,경상북도,구미시
경인교육대학교,4년제,인천광역시,계양구
경인여자대학교,전문대,인천광역시,계양구
경일대학교,4년제,경상북도,경산시
경희대학교,4년제,서울특별시,동대문구
경희사이버대학교,원격대학,서울특별시,동대문구
계명대학교,4년제,대구광역시,달서구
계명문화대학교,전문대,대구광역시,달서구
계원예술대학교,전문대,경기도,의왕시
고려대학교,4년제,서울특별시,성북구
고려대학교(세종),4년제,세종특별자치시,
고려사이버대학교,원격대학,서울특별시,종로구
고신대학교,4년제,부산광역시,영도구
공주교육대학교,4년제,충청남도,공주시
광신대학교,4년제,광주광역시,북구
광양보건대학교,전문대,전라남도,광양시
광운대학교,4년제,서울특별시,노원구
광주가톨릭대학교,4년제,전라남도,나주시
광주과학기술원,4년제,광주광역시,북구
광주교육대학교,4년제,광주광역시,북구
광주대학교,4년제,광주광역시,남구
광주보건대학교,전문대,광주광역시,광산구
광주여자대학교,4년제,광주광역시,광산구
구미대학교,전문대,경상북도,구미시
구세군사관학교,전문대,경기도,과천시
국립강릉원주대학교,4년제,강원특별자치도,강릉시
국립경국대학교,4년제,경상북도,안동시
국립공주대학교,4년제,충청남도,공주시
국립군산대학교,4년제,전북특별자치도,군산시
국립금오공과대학교,4년제,경상북도,구미시
국립목포대학교,4년제,전라남도,무안군
국립목포해양대학교,4년제,전라남도,목포시
국립부경대학교,4년제,부산광역시,남구
국립순천대학교,4년제,전라남도,순천시
국립창원대학교,4년제,경상남도,창원시 의창구
국립창원대학교(거창캠퍼스),4년제,경상남도,거창군
국립창원대학교(남해캠퍼스),4년제,경상남도,남해군
국립한국교통대학교,4년제,충청북도,충주시
국립한국해양대학교,4년제,부산광역시,영도구
국립한밭대학교,4년제,대전광역시,유성구
국민대학교,4년제,서울특별시,성북구
국제대학교,전문대,경기도,평택시
국제사이버대학교,원격대학,경기도,수원시 팔달구
군산간호대학교,전문대,전북특별자치도,군산시
군장대학교,전문대,전북특별자치도,군산시
극동대학교,4년제,충청북도,음성군
글로벌사이버대학교,원격대학,충청남도,천안시 동남구
금강대학교,4년제,충청남도,논산시
기독간호대학교,전문대,광주광역시,남구
김천대학교,4년제,경상북도,김천시
김포대학교,전문대,경기도,김포시
김해대학교,전문대,경상남도,김해시
나사렛대학교,4년제,충청남도,천안시 서북구
나주대학교,전문대,전라남도,나주시
남부대학교,4년제,광주광역시,광산구
남서울대학교,4년제,충청남도,천안시 서북구
남서울대학교(산업대),4년제,충청남도,천안시 서북구
농협대학교,전문대,경기도,고양시 덕양구
단국대학교,4년제,경기도,용인시 수지구
대경대학교,전문대,경상북도,경산시
대구가톨릭대학교,4년제,경상북도,경산시
대구경북과학기술원,4년제,대구광역시,달성군
대구공업대학교,전문대,대구광역시,달서구
대구과학대학교,전문대,대구광역시,북구
대구교육대학교,4년제,대구광역시,남구
대구대학교,4년제,경상북도,경산시
대구미래대학교,전문대,경상북도,경산시
대구보건대학교,전문대,대구광역시,북구
대구사이버대학교,원격대학,경상북도,경산시
대구예술대학교,4년제,경상북도,칠곡군
대구외국어대학교,4년제,경상북도,경산시
대구한의대학교,4년제,경상북도,경산시
대덕대학교,전문대,대전광역시,유성구
대동대학교,전문대,부산광역시,금정구
대림대학교,전문대,경기도,안양시 동안구
대신대학교,4년제,경상북도,경산시
대원대학교,전문대,충청북도,제천시
대전가톨릭대학교,4년제,세종특별자치시,
대전과학기술대학교,전문대,대전광역시,서구
대전대학교,4년제,대전광역시,동구
대전보건대학교,전문대,대전광역시,동구
대전신학대학교,4년제,대전광역시,대덕구
대진대학교,4년제,경기도,포천시
덕성여자대학교,4년제,서울특별시,도봉구
동강대학교,전문대,광주광역시,북구
동국대학교,4년제,서울특별시,중구
동국대학교(WISE),4년제,경상북도,경주시
동남보건대학교,전문대,경기도,수원시 장안구
동덕여자대학교,4년제,서울특별시,성북구
동명대학교,4년제,부산광역시,남구
동부산대학교,전문대,부산광역시,해운대구
동서대학교,4년제,부산광역시,사상구
동서울대학교,전문대,경기도,성남시 수정구
동신대학교,4년제,전라남도,나주시
동아대학교,4년제,부산광역시,사하구
동아방송예술대학교,전문대,경기도,안성시
동아보건대학교,전문대,전라남도,영암군
동양대학교,4년제,경상북도,영주시
동양미래대학교,전문대,서울특별시,구로구
동우대학,전문대,강원특별자치도,속초시
동원과학기술대학교,전문대,경상남도,양산시
동원대학교,전문대,경기도,광주시
동의과학대학교,전문대,부산광역시,부산진구
동의대학교,4년제,부산광역시,부산진구
두원공과대학교,전문대,경기도,안성시
디지털서울문화예술대학교,원격대학,서울특별시,서대문구
루터대학교,4년제,경기도,용인시 기흥구
마산대학교,전문대,경상남도,창원시 마산회원구
명지대학교,4년제,경기도,용인시 처인구
명지전문대학,전문대,서울특별시,서대문구
목원대학교,4년제,대전광역시,서구
목포가톨릭대학교,4년제,전라남도,목포시
목포과학대학교,전문대,전라남도,목포시
문경대학교,전문대,경상북도,문경시
